Animal_ID,IndexStart,IndexEnd,TimeStart,TimeEnd,TimeInThermal,NumberOfTurns,AverageTimePerTurn,MeanElevationGainPerTurn,ClimbRate,ThermalType,lat_start,lon_start,max_elvation_above_ground,mean_blh,wang,wvel,OverSeaOrLand,mean_Flap_rate,day_time,wang_calc,wvel_calc
170581,100,182,2020-11-12 10:52:00,2018-10-11 10:53:00,82,2,20,20,0.4878,2,35.22,35.861,292,869.04,-0.94368,1.3949,2,1.8679,1,-0.57003,14.006
170891,475,562,2018-10-11 11:36:00,2018-10-11 11:38:00,87,2,15,15,0.34483,2,43.953,33.158,NaN,625.9,-2.7911,6.8538,1,2.9625,1,-2.0652,20.252
170911,1174,1232,2020-10-20 11:41:00,2020-10-20 11:42:00,58,2,11,11,0.37931,2,43.966,34.59,NaN,1308.4,-2.1545,4.0023,1,1.414,1,NaN,NaN
170911,698,762,2021-03-20 17:44:00,2021-03-20 17:45:00,64,2,11,11,0.34375,2,44.148,35.898,11,899.23,-0.41669,6.175,1,2.3965,0,NaN,NaN
1819511,248,382,2019-11-18 11:59:00,2019-11-18 12:02:00,134,2,21.5,21.5,0.3209,2,34.882,35.664,184,1203.1,3.029,6.4772,2,2.5271,1,-1.7452,11.159
1819521,4322,4474,2019-10-16 17:15:00,2019-10-16 17:18:00,152,2,26.5,26.5,0.34868,2,42.673,33.104,779,320.66,-2.8254,6.0172,1,3.0325,0,-1.6916,10.633
1819551,8555,8863,2019-10-26 12:33:00,2019-10-26 12:38:00,308,2,47.5,47.5,0.30844,2,42.984,34.338,1285,538.99,0.28249,3.1965,1,2.378,1,-1.169,11.756
1819561,15827,16010,2019-10-16 21:38:00,2019-10-16 21:41:00,183,3,13.333,13.333,0.21858,2,41.99,33.718,144,47.863,2.5896,2.3025,1,2.413,0,3.0282,0.13604
170811,6810,7179,2020-03-09 11:21:00,2020-03-09 11:27:00,369,2,75.5,75.5,0.40921,1,35.479,35.775,148.27,827.67,1.3334,6.9707,2,2.7829,1,0.78703,14.773
170891,8152,8314,2019-10-23 14:23:00,2019-10-23 14:25:00,162,3,26,26,0.48148,1,42.866,33.893,251,507.07,-2.5466,7.8462,1,2.7014,1,-2.2668,8.651
